level5_full_text_screening_decision;level5_final_classification;level5_action;title;first_author;year;level4_full_text_decision;previous_object_classification;zotero_item_key;pdf_attachment_key;level5_note
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Research on full lifecycle health management of permanent magnet synchronous electric drum driven by digital twin with dynamic update;Chen W.;2025;INCLUDE_FULL_TEXT;other or general;K78KYQZY;6DLA7V9R;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Real-Time Data Acquisition and Digital Twin Model Synchronization Technology of Wind-Solar Electrolysis Hydrogen Production System Based on Internet of Things;Fang H.;2025;INCLUDE_FULL_TEXT;other or general;YGV7IVGL;BFUQ6S66;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Verification and validation of digital twins: a systematic literature review for manufacturing applications;Bitencourt J.;2025;INCLUDE_FULL_TEXT;other or general;SA8Z993R;EJE2FCEM;User full-text screening decision: remove from considered set after Others-set full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Hierarchical Bayesian Model Updating of a 6 MW Offshore Wind Turbine Accounting for Variable Environmental and Operational Conditions;Moynihan B.;2025;INCLUDE_FULL_TEXT;other or general;WQJPEV5L;WJ4RDIFU;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Validation of Digital Twins in Labor-intensive Manufacturing:Significance and Challenges;Zare A.;2024;INCLUDE_FULL_TEXT;production system object;JXNXVU74;CX63DE3D;User full-text screening decision: remove from considered set.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;DIGITAL TWIN CALIBRATION FOR BIOLOGICAL SYSTEM-OF-SYSTEMS: CELL CULTURE MANUFACTURING PROCESS;Cheng F.;2024;INCLUDE_FULL_TEXT;other or general;D2HFHD7W;5BDS2JWB;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Thermal Model Validation of a Power Electronics Module for Digital Twin Application;Zoller S.;2024;INCLUDE_FULL_TEXT;other or general;KPHVIQ6W;6WGJ2PCU;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;An MBSE approach for Virtual Verification & Validation of Systems with Digital Twins;Honcak R.;2024;INCLUDE_FULL_TEXT;other or general;KUXMTIXV;MZY7IKGM;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;move from production-system object to other/general;Digital twin with augmented state extended Kalman filters for forecasting electric power consumption of industrial production systems;Baldassarre A.;2024;INCLUDE_FULL_TEXT;production system object;9UAPSDK2;AB6JDKDY;User full-text screening decision: move from production-system set to other/general set.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Cognitive digital twin in manufacturing process: integrating the knowledge graph for enhanced human-centric Industry 5.0;Su C.;2024;INCLUDE_FULL_TEXT;production system object;83NI78DZ;UPYTIYIE;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Integrating digital twins in metal sink factories: A pathway to smart manufacturing;Kappatos V.;2024;INCLUDE_FULL_TEXT;production system object;VLR3S7T8;LBWGMILV;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;A multi-dimensional evolution modeling method for digital twin process model;Liu J.;2024;INCLUDE_FULL_TEXT;other or general;H782THRV;E2CD2F9S;User full-text screening decision: remove from considered set after validation-method outlier review.
KEEP_OTHER_GENERAL;other or general;move from production-system object to other/general;Methods to Enable Evolvable Digital Twins for Flexible Automated Production Systems;Vogel-Heuser B.;2024;INCLUDE_FULL_TEXT;production system object;ZM6ATFXN;89EYKY2N;User full-text screening decision: move from production-system set to other/general set.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Robust Online Update of Digital Twin for Flexible Automation Cell;Ramasamy S.;2024;INCLUDE_FULL_TEXT;production system object;V9ZEJ9RC;KPI83WI3;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Co-evolutionary digital twins: A multidimensional dynamic approach to digital engineering;Tong X.;2024;INCLUDE_FULL_TEXT;other or general;3HSNM2CX;JUJZNLWB;User full-text screening decision: remove from considered set after validation-method outlier review.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Digital Twin of Cyber-Physical CNC for Smart Manufacturing;Williams B.;2023;INCLUDE_FULL_TEXT;other or general;6WQY4Q5D;84PGITAD;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Towards discrete manufacturing workshop-oriented digital twin model: Modeling, verification and evolution;Qian W.;2023;INCLUDE_FULL_TEXT;production system object;TRXQ3X7A;EUAK5E27;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Updating digital twins: Methodology for data accuracy quality control using machine learning techniques;Rodríguez F.;2023;INCLUDE_FULL_TEXT;other or general;969Q4T83;2ZZRRD9H;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;A modelling and updating approach of digital twin based on surrogate model to rapidly evaluate product performance;Liu X.;2023;INCLUDE_FULL_TEXT;other or general;S9ME24AN;RJTQ8CL4;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;IIoT-Supported Manufacturing-Material-Flow Tracking in a DES-Based Digital-Twin Environment;Monek G.D.;2023;INCLUDE_FULL_TEXT;production system object;6Z7984WS;7LXQJHW7;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Methodology for enabling dynamic digital twins and virtual model evolution in industrial robotics - a predictive maintenance application;Aivaliotis P.;2023;INCLUDE_FULL_TEXT;other or general;5LRE4NZF;GB8CUX5T;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Self-learning Time-varying Digital Twin System for Intelligent Monitoring of Automatic Production Line;Hao C.;2023;INCLUDE_FULL_TEXT;production system object;E2S38L7Y;YFE452YR;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;move from production-system object to other/general;Live fitting of process data within digital twins of manufacturing to use simulation and optimisation;Schumacher C.;2024;INCLUDE_FULL_TEXT;production system object;DBHF3H29;EL7J7QJ5;User full-text screening decision: move from production-system set to other/general set.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;A human-centered framework to update digital twins;Denno P.;2023;INCLUDE_FULL_TEXT;other or general;VCYSIRRD;KBTEK2KC;User full-text screening decision: remove from considered set after validation-method outlier review.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;The architecture evolution of intelligent factory logistics digital twin from planning, implement to operation;Qiu F.;2023;INCLUDE_FULL_TEXT;other or general;PZCJLDA6;UXCZFKHR;User full-text screening decision: remove from considered set after validation-method outlier review.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Credibility consideration for digital twins in manufacturing;Shao G.;2023;INCLUDE_FULL_TEXT;other or general;Y8NRW8DG;XGV4XPCV;User full-text screening decision: remove from considered set after validation-method outlier review.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Online validation of digital twins for manufacturing systems;Lugaresi G.;2023;INCLUDE_FULL_TEXT;production system object;SP4KW6SY;SSYSSQBW;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;The ontology-based modeling and evolution of digital twin for assembly workshop;Bao Q.;2021;INCLUDE_FULL_TEXT;production system object;U9AELGCQ;LIZUWVGZ;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;move from other/general set to production-system set;Online Validation of Simulation-Based Digital Twins Exploiting Time Series Analysis;Lugaresi G.;2022;INCLUDE_FULL_TEXT;other or general;ARZCFGTN;QNP3NZB4;User full-text screening decision: move from other/general set to production-system set.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Verification and validation of digital twins and virtual testbeds;Dahmen U.;2022;INCLUDE_FULL_TEXT;other or general;LHUSEF38;F95F8ALR;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Multidimensional data modeling and model validation for digital twin workshop;Qian W.;2021;INCLUDE_FULL_TEXT;production system object;IHFDX3VD;KJBD3CMY;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Model updating of a wind turbine blade finite element Timoshenko beam model with invertible neural networks;Noever-Castelos P.;2022;INCLUDE_FULL_TEXT;other or general;F9QJ9QPX;GLLKR655;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Incremental update of a digital twin of a production system by using scan and object recognition;Sommer M.;2021;INCLUDE_FULL_TEXT;production system object;XKQK9VU7;BQK73ZWZ;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Artificial Neural Network for Fast and Versatile Model Parameter Adjustment utilizing PAT Signals of Chromatography Processes for Process Control under Production Conditions;Mouellef M.;2022;INCLUDE_FULL_TEXT;other or general;FVMXQTJS;G2NE6HWR;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Knowledge-based digital twin model evolution management method for mechanical products;Zheng M.;2021;INCLUDE_FULL_TEXT;other or general;AA84CTUJ;M7EUBQR7;User full-text screening decision: remove from considered set after validation-method outlier review.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Validation of Digital Twins: Challenges and Opportunities;Hua E.Y.;2022;INCLUDE_FULL_TEXT;other or general;IUVY58SY;CR6KUX5I;User full-text screening decision: remove from considered set after Others-set full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;A concept in synchronization of virtual production system with real factory based on anchor-point method;Talkhestani B.A.;2018;INCLUDE_FULL_TEXT;production system object;K7KTKZ2E;MC72TSRB;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Digital Twin for Legacy Systems: Simulation Model Testing and Validation;Khan A.;2018;INCLUDE_FULL_TEXT;other or general;4P3EVILH;5TKHLFV6;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Digital Twin Bionics: A Biological Evolution-Based Digital Twin Approach for Rapid Product Development;Li L.;2021;INCLUDE_FULL_TEXT;other or general;IFLN55BA;2T46DGV8;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;A Complete Digital Chain to Enable the Digital Twin of a Shop Floor;Noël F.;2020;INCLUDE_FULL_TEXT;other or general;74B3QMWI;AT2QIU76;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Digital twin based computerized numerical control machine tool virtual prototype design;Hu T.;2020;INCLUDE_FULL_TEXT;other or general;XWWRC86P;U4UGDCHS;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;move from other/general set to production-system set;Change-point visualization and variation analysis in a simple production line: A process mining application in manufacturing;Chiò E.;2021;INCLUDE_FULL_TEXT;other or general;5RIE7WUE;MGB73EHZ;User full-text screening decision: move from other/general set to production-system set.
